FirstName, LastName, Quarter, Year, TotalRevenue, RevenueRank
FRANK, VAZQUEZ, 1, 2017, 4752.662567615509, 1
COLLEEN, GOEL, 1, 2017, 4677.572568893433, 2
RICKY, NAVARRO, 1, 2017, 4676.2866134643555, 3
RONALD, KAPOOR, 1, 2017, 4674.545167922974, 4
KATRINA, TANG, 1, 2017, 4667.81676530838, 5
MARTIN, SURI, 1, 2017, 4652.713945388794, 6
DENNIS, ZHOU, 1, 2017, 4629.678146362305, 7
GERRIT, STRAATSMA, 1, 2017, 4628.582569122314, 8
LACEY, HE, 1, 2017, 4611.409748077393, 9
SHANNON, NAVARRO, 1, 2017, 4608.073947906494, 10
ANDRE, MARTINEZ, 1, 2017, 4602.073944091797, 11
EDDIE, DOMINGUEZ, 1, 2017, 4601.033945083618, 12
MOLLY, MADAN, 1, 2017, 4599.8997440338135, 13
STACY, RUIZ, 1, 2017, 4596.078212738037, 14
TYRONE, RUBIO, 1, 2017, 4592.083946228027, 15
EDUARDO, ROBINSON, 1, 2017, 4586.088214874268, 16
VERONICA, VANCE, 1, 2017, 4585.795446395874, 17
LATASHA, DOMINGUEZ, 1, 2017, 4579.665011405945, 18
MORGAN, BENNETT, 1, 2017, 4571.898211479187, 19
RYAN, GARCIA, 1, 2017, 4567.758144378662, 20
CHERYL, JIMÉNEZ, 1, 2017, 4566.487043380737, 21
JENNIFER, WASHINGTON, 1, 2017, 4565.668144226074, 22
JONATHON, HERNANDEZ, 1, 2017, 4564.165512084961, 23
KAREN, SMITH, 1, 2017, 4553.439746856689, 24
CINDY, LEWIS, 1, 2017, 4553.030811309814, 25
JORDAN, SHAN, 1, 2017, 4552.839710235596, 26
ANDREW, JONES, 1, 2017, 4543.093946456909, 27
CLINTON, DOMINGUEZ, 1, 2017, 4541.642411231995, 28
KARLA, RAJI, 1, 2017, 4537.728147506714, 29
KAITLYN, MITCHELL, 1, 2017, 4532.545944213867, 30
BRUCE, GOMEZ, 1, 2017, 4530.652410507202, 31
ANTHONY, WHITE, 1, 2017, 4529.309743881226, 32
JULIAN, HENDERSON, 1, 2017, 4529.083947181702, 33
SHANE, SANCHEZ, 1, 2017, 4523.626310348511, 34
JENNY, LAL, 1, 2017, 4520.772413253784, 35
COREY, KUMAR, 1, 2017, 4512.396612167358, 36
TERRENCE, XIE, 1, 2017, 4512.118213653564, 37
RUTH, MEHTA, 1, 2017, 4512.018213272095, 38
GLENN, WANG, 1, 2017, 4508.918211936951, 39
MARSHALL, LIN, 1, 2017, 4504.080812454224, 40
VINCENT, SUN, 1, 2017, 4501.80241394043, 41
MELODY, ROMERO, 1, 2017, 4501.389213562012, 42
LEAH, CAI, 1, 2017, 4490.48974609375, 43
JACQUELINE, JAMES, 1, 2017, 4489.133945465088, 44
NELSON, ORTEGA, 1, 2017, 4485.446615219116, 45
CAMERON, ANDERSON, 1, 2017, 4480.266311645508, 46
GILBERT, GUO, 1, 2017, 4468.158214569092, 47
KATE, RAI, 1, 2017, 4451.148212432861, 48
BRANDY, RANA, 1, 2017, 3912.081165790558, 49
DONALD, PATEL, 1, 2017, 3861.013868331909, 50
COLIN, WU, 1, 2017, 3817.376533508301, 51
MAURICE, SHAN, 1, 2017, 3652.9100456237793, 52
JORDAN, TURNER, 1, 2017, 3521.6542472839355, 53
LATASHA, ROMERO, 1, 2017, 3452.1065158843994, 54
GINA, ROMERO, 1, 2017, 3432.950050354004, 55
LUIS, COLEMAN, 1, 2017, 3402.20965385437, 56
HEIDI, MEHTA, 1, 2017, 3342.5723190307617, 57
TAMARA, SHE, 1, 2017, 3324.4938526153564, 58
